Nom station;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Actualisation de la donnée;Nom communes équipées
Gare Arcueil - Cachan;26;13;13;3;10;2023-04-06T13:48:31+02:00;Arcueil
Laumière - Petit;34;30;1;0;1;2023-04-06T13:48:38+02:00;Paris
Gare RER de Gentilly;30;28;1;0;1;2023-04-06T13:47:58+02:00;Gentilly
Marignan - Champs-Elysées;35;21;13;4;9;2023-04-06T13:47:59+02:00;Paris
Place Jean Ferrat;25;17;6;3;3;2023-04-06T13:49:03+02:00;Ivry-sur-Seine
Villiers de l'Isle Adam - Pyrénées;20;18;1;0;1;2023-04-06T13:47:16+02:00;Paris
Stalingrad - Désiré Chevalier;42;40;1;0;1;2023-04-06T13:47:21+02:00;Montreuil
Place de la Porte de Paris;40;35;3;2;1;2023-04-06T13:47:09+02:00;Saint-Denis
Saint-Jacques - Soufflot;0;0;0;0;0;2018-06-06T08:42:14+02:00;Paris
Place Amédée Gordini - Lefebvre;38;25;13;5;8;2023-04-06T13:48:29+02:00;Paris
Flandre - Alphonse Karr;25;18;5;5;0;2023-04-06T13:47:39+02:00;Paris
Hôpital Bégin;26;0;25;18;7;2023-04-06T13:47:48+02:00;Vincennes
Hôtel de Ville de Nanterre;38;11;26;2;24;2023-04-06T13:48:52+02:00;Nanterre
Charonne - Faubourg Saint-Antoine;34;0;34;29;5;2023-04-06T13:48:50+02:00;Paris
Victor Hugo - Ecoles;25;8;17;15;2;2023-04-06T13:48:00+02:00;Alfortville
Jules Ferry - Faubourg du Temple Paris;58;50;7;5;2;2023-04-06T13:48:02+02:00;Paris
